system:index,ALAND,AWATER,BLKGRPCE,COUNTYFP,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,STATEFP,TRACTCE,mean_LST,.geo
000000000000000000f6,13840355,140055,1,003,S,270030501151,+45.3622315,-093.2940271,G5030,Block Group 1,27,050115,{downscaled LST=72.86600825071808},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d2,9108393,45530,1,003,S,270030501101,+45.3370745,-093.2495330,G5030,Block Group 1,27,050110,{downscaled LST=73.37793419370178},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000207,9966740,74298,1,003,S,270030501071,+45.4078839,-093.4020635,G5030,Block Group 1,27,050107,{downscaled LST=73.05848699893009},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000208,32873715,1080810,1,003,S,270030501161,+45.3451743,-093.4841455,G5030,Block Group 1,27,050116,{downscaled LST=70.69908097480985},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000209,15420639,528374,1,003,S,270030501141,+45.3479882,-093.3815125,G5030,Block Group 1,27,050114,{downscaled LST=73.38287330751518},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000020f,9864998,147209,1,003,S,270030501081,+45.3988005,-093.3276147,G5030,Block Group 1,27,050108,{downscaled LST=75.21537918548638},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000210,39127851,3069347,1,003,S,270030502101,+45.3117192,-093.0933699,G5030,Block Group 1,27,050210,{downscaled LST=67.65124235159811},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000310,6868074,130489,1,003,S,270030502411,+45.2754741,-093.4198157,G5030,Block Group 1,27,050241,{downscaled LST=71.88884804725568},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000311,6177268,8408,1,003,S,270030502181,+45.2723028,-093.3581656,G5030,Block Group 1,27,050218,{downscaled LST=73.09976032965713},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000313,2384998,13988,1,003,S,270030502401,+45.2534097,-093.4163144,G5030,Block Group 1,27,050240,{downscaled LST=73.88570264651344},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000321,2092718,80133,1,003,S,270030508281,+45.1265904,-093.1679231,G5030,Block Group 1,27,050828,{downscaled LST=78.0703350852028},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000032e,677499,52483,1,003,S,270030508201,+45.1840312,-093.2151820,G5030,Block Group 1,27,050820,{downscaled LST=74.88839724202025},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000422,818130,1161,1,003,S,270030506111,+45.1830634,-093.3602780,G5030,Block Group 1,27,050611,{downscaled LST=79.89647528591044},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000430,808181,66653,1,003,S,270030508271,+45.1553453,-093.2525988,G5030,Block Group 1,27,050827,{downscaled LST=73.97492980044962},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000433,1727450,713,1,003,S,270030511021,+45.0967016,-093.2537258,G5030,Block Group 1,27,051102,{downscaled LST=79.62638065849987},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000439,964052,41377,1,003,S,270030508221,+45.2016847,-093.2262668,G5030,Block Group 1,27,050822,{downscaled LST=78.6253525780621},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000043a,915969,2103,1,003,S,270030508241,+45.1802256,-093.2500979,G5030,Block Group 1,27,050824,{downscaled LST=75.72734628208707},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000043b,930046,1126,1,003,S,270030508291,+45.1380868,-093.2025460,G5030,Block Group 1,27,050829,{downscaled LST=72.52151401315747},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000043f,997285,2093,1,003,S,270030508231,+45.2068030,-093.2468876,G5030,Block Group 1,27,050823,{downscaled LST=72.97438370321278},"{""type"":""MultiPoint"",""coordinates"":[]}"
