system:index,ABC_SORT,CTU_CODE,CTU_ID,CTU_ID_CEN,CTU_NAME,CTU_TYPE,FIVE_COLOR,Shape_Area,Shape_Leng,max_LST,.geo
00000000000000000007,162,30392,2394440,02394440,Hugo,C,1,9.32252614911E7,38590.4398174,{LST=104.40293435183008},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,184,35414,2395626,02395626,Landfall,C,1,213686.311085,2302.569273,{LST=101.55471517308266},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,182,35180,2395614,02395614,Lakeville,C,1,9.93702531348E7,46526.406198,{LST=106.36142996676384},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,280,49012,2396098,02396098,Osseo,C,1,1911800.811,7006.86934425,{LST=104.89503347275138},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,164,30842,2395420,02395420,Independence,C,1,8.94421562938E7,45324.7585638,{LST=105.41737696794056},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,340,61492,2395918,02395918,South St. Paul,C,1,1.61613825454E7,24641.9976307,{LST=104.47278146051056},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,384,69970,2397299,02397299,White Bear Lake,C,1,2.22668781376E7,39555.9703137,{LST=103.69150946884304},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,52,10846,2393797,02393797,Champlin,C,1,2.26713289051E7,24428.3410566,{LST=104.4211194813541},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,228,42092,2395317,02395317,Miesville,C,1,4499604.34813,9219.89202385,{LST=102.39135924921437},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,378,68818,2397235,02397235,Wayzata,C,1,1.21203866089E7,23243.7245263,{LST=105.26125473059221},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,146,26990,2394288,02394288,Hanover,C,1,5535620.66107,12766.3894613,{LST=103.75735199931702},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050,196,37502,2395733,02395733,Little Canada,C,1,1.16040956618E7,16125.0664043,{LST=104.81107740889618},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063,342,61996,2395934,02395934,Spring Lake Park,C,1,5419705.16967,10156.3033635,{LST=104.35751717326144},"{""type"":""MultiPoint"",""coordinates"":[]}"
