system:time_start,LST_L4,LST_L5,LST_L7,LST_L8,LST_L9
"Jun 12, 1984",,,,,
"Jun 28, 1984",,,,,
"Aug 31, 1984",,275.333,,,
"Aug 2, 1985",,,,,
"Aug 18, 1985",,296.68,,,
"Sep 3, 1985",,,,,
"May 17, 1986",,292.662,,,
"Jun 2, 1986",,301.496,,,
"Jun 18, 1986",,299.515,,,
"Jul 4, 1986",,,,,
"Jul 20, 1986",,,,,
"Aug 5, 1986",,303.425,,,
"Aug 21, 1986",,298.817,,,
"Sep 6, 1986",,292.506,,,
"May 4, 1987",,297.439,,,
"Jun 5, 1987",,308.6,,,
"Jun 21, 1987",,301.754,,,
"Jul 7, 1987",,,,,
"Jul 23, 1987",,306.639,,,
"Aug 24, 1987",,298.932,,,
"Sep 9, 1987",,,,,
"Sep 25, 1987",,293.987,,,
"May 6, 1988",,308.839,,,
"May 22, 1988",,,,,
"Jun 7, 1988",,315.33,,,
"Jun 23, 1988",,,,,
"Jul 9, 1988",,,,,
"Jul 25, 1988",,308.53,,,
"Aug 10, 1988",,307.735,,,
"Aug 26, 1988",,303.292,,,
"Sep 11, 1988",,305.623,,,
"Sep 27, 1988",,,,,
"May 9, 1989",,296.298,,,
"Jun 10, 1989",,304.117,,,
"Jun 26, 1989",,,,,
"Jul 28, 1989",,300.31,,,
"Aug 13, 1989",,,,,
"Sep 14, 1989",,295.871,,,
"May 28, 1990",,303.354,,,
"Jun 13, 1990",,,,,
"Jun 29, 1990",,304.019,,,
"Jul 15, 1990",,301.294,,,
"Jul 31, 1990",,303.271,,,
"Aug 16, 1990",,305.701,,,
"Sep 1, 1990",,,,,
"May 31, 1991",,,,,
"Jun 16, 1991",,305.817,,,
"Jul 2, 1991",,,,,
"Jul 18, 1991",,,,,
"Aug 19, 1991",,299.345,,,
"Sep 4, 1991",,299.27,,,
"Sep 20, 1991",,289.52,,,
"May 1, 1992",,,,,
"Jun 2, 1992",,301.218,,,
"Jun 18, 1992",,,,,
"Jul 4, 1992",,296.924,,,
"Jul 20, 1992",,,,,
"Jul 28, 1992",,,,,
"Aug 5, 1992",,301.334,,,
"Aug 13, 1992",,,,,
"Aug 21, 1992",,,,,
"Aug 29, 1992",300.537,,,,
"Sep 6, 1992",,295.98,,,
"Sep 14, 1992",,,,,
"Sep 22, 1992",,289.579,,,
"May 4, 1993",,,,,
"May 20, 1993",,,,,
"Jun 5, 1993",,297.045,,,
"Jun 21, 1993",,304.713,,,
"Jul 7, 1993",,,,,
"Aug 8, 1993",,,,,
"Aug 24, 1993",,306.249,,,
"Sep 9, 1993",,,,,
"Sep 25, 1993",,292.096,,,
"May 7, 1994",,296.416,,,
"May 23, 1994",,,,,
"Jun 8, 1994",,290.587,,,
"Jun 24, 1994",,,,,
"Jul 10, 1994",,302.344,,,
"Jul 26, 1994",,,,,
"Aug 11, 1994",,300.229,,,
"Aug 27, 1994",,,,,
"Sep 12, 1994",,,,,
"May 10, 1995",,292.046,,,
"May 26, 1995",,,,,
"Jun 11, 1995",,298.404,,,
"Jul 13, 1995",,314.885,,,
"Jul 29, 1995",,307.23,,,
"Aug 14, 1995",,292.734,,,
"Aug 30, 1995",,303.187,,,
"Sep 15, 1995",,,,,
"May 12, 1996",,,,,
"May 28, 1996",,300.028,,,
"Jun 13, 1996",,306.595,,,
"Jun 29, 1996",,307.936,,,
"Jul 15, 1996",,304.123,,,
"Jul 31, 1996",,296.66,,,
"Sep 1, 1996",,304.424,,,
"May 15, 1997",,,,,
"May 31, 1997",,306.344,,,
"Jun 16, 1997",,,,,
"Jul 18, 1997",,,,,
"Aug 3, 1997",,,,,
"Sep 4, 1997",,,,,
"Sep 20, 1997",,,,,
"May 2, 1998",,,,,
"May 18, 1998",,307.838,,,
"Jun 3, 1998",,297.275,,,
"Jun 19, 1998",,,,,
"Jul 5, 1998",,307.243,,,
"Jul 21, 1998",,,,,
"Aug 6, 1998",,,,,
"Sep 7, 1998",,298.711,,,
"Sep 23, 1998",,,,,
"May 5, 1999",,,,,
"Jun 22, 1999",,,,,
"Jun 30, 1999",,,,,
"Jul 8, 1999",,,,,
"Jul 16, 1999",,,,,
"Jul 24, 1999",,311.999,,,
"Aug 1, 1999",,,295.077,,
"Aug 9, 1999",,,,,
"Aug 17, 1999",,,303.32,,
"Aug 25, 1999",,,,,
"Sep 2, 1999",,,306.728,,
"Sep 10, 1999",,295.232,,,
"Sep 18, 1999",,,297.948,,
"Sep 26, 1999",,295.445,,,
"May 7, 2000",,,,,
"May 15, 2000",,,299.849,,
"May 23, 2000",,302.818,,,
"May 31, 2000",,,,,
"Jun 16, 2000",,,,,
"Jun 24, 2000",,,,,
"Jul 2, 2000",,,,,
"Jul 10, 2000",,304.36,,,
"Jul 26, 2000",,,,,
"Aug 3, 2000",,,,,
"Aug 11, 2000",,,,,
"Aug 19, 2000",,,,,
"Aug 27, 2000",,,,,
"Sep 4, 2000",,,,,
"Sep 12, 2000",,298.351,,,
"Sep 20, 2000",,,,,
"May 2, 2001",,,,,
"May 10, 2001",,,,,
"May 18, 2001",,,303.658,,
"Jun 3, 2001",,,295.84,,
"Jun 11, 2001",,,,,
