system:index,CTU_NAME,avg_lst,regionAvg,regionSD,.geo
00000000000000000009,White Bear Lake,{LST=107.10986773024717},109.38984212541257,5.8313883293751205,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,Spring Lake Park,{LST=112.91085076123889},109.38984212541257,5.8313883293751205,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,Lakeland Shores,{LST=104.10949642717935},109.38984212541257,5.8313883293751205,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,Long Lake,{LST=106.82914017348735},109.38984212541257,5.8313883293751205,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,Prior Lake,{LST=104.62799611529078},109.38984212541257,5.8313883293751205,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,Medicine Lake,{LST=102.41857590641543},109.38984212541257,5.8313883293751205,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,Lake Elmo,{LST=99.2457478757827},109.38984212541257,5.8313883293751205,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,Lake St. Croix Beach,{LST=103.3974393760941},109.38984212541257,5.8313883293751205,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,West Lakeland Twp.,{LST=99.25207834372631},109.38984212541257,5.8313883293751205,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,Laketown Twp.,{LST=98.40269754000788},109.38984212541257,5.8313883293751205,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6,Lino Lakes,{LST=99.31182133615069},109.38984212541257,5.8313883293751205,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b8,Spring Lake Twp.,{LST=98.42132606640415},109.38984212541257,5.8313883293751205,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,Ham Lake,{LST=99.70411035720703},109.38984212541257,5.8313883293751205,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057,Gem Lake,{LST=100.99959700736616},109.38984212541257,5.8313883293751205,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,Lakeland,{LST=103.17069296774866},109.38984212541257,5.8313883293751205,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,Sunfish Lake,{LST=99.50494133078472},109.38984212541257,5.8313883293751205,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074,Forest Lake,{LST=96.71958121887431},109.38984212541257,5.8313883293751205,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,Cedar Lake Twp.,{LST=98.38223850477075},109.38984212541257,5.8313883293751205,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b,Lakeville,{LST=105.72415470791833},109.38984212541257,5.8313883293751205,"{""type"":""MultiPoint"",""coordinates"":[]}"
