system:index,CTU_NAME,sq_miles,.geo
00000000000000000009,White Bear Lake,"{groups=[{tempbin=1, sum=1.7194092846385323}, {tempbin=2, sum=1.7432988255046753}, {tempbin=3, sum=3.108008396432137}, {tempbin=4, sum=0.5355495454216546}, {tempbin=5, sum=0.6273820334485104}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,Spring Lake Park,"{groups=[{tempbin=1, sum=0.09784336307612942}, {tempbin=2, sum=0.09538950485604876}, {tempbin=3, sum=0.7069504722763176}, {tempbin=4, sum=0.5134929779908072}, {tempbin=5, sum=0.5777451252614662}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,Lakeland Shores,"{groups=[{tempbin=1, sum=0.15124325351912843}, {tempbin=2, sum=0.07304076440392447}, {tempbin=3, sum=0.06246706729691162}, {tempbin=4, sum=0.008853840555688478}, {tempbin=5, sum=0.009592042287359617}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,Long Lake,"{groups=[{tempbin=1, sum=0.251436764311469}, {tempbin=2, sum=0.2642167658405461}, {tempbin=3, sum=0.16761888706184772}, {tempbin=4, sum=0.054560286444726644}, {tempbin=5, sum=0.10346606474672228}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,Prior Lake,"{groups=[{tempbin=1, sum=7.039077445802043}, {tempbin=2, sum=2.4889181270584904}, {tempbin=3, sum=4.182893020467432}, {tempbin=4, sum=1.1139867563941994}, {tempbin=5, sum=0.7673520509867631}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,Medicine Lake,"{groups=[{tempbin=1, sum=0.10614938044822993}, {tempbin=2, sum=0.04078869325257569}, {tempbin=3, sum=0.011549147414666743}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,Lake Elmo,"{groups=[{tempbin=1, sum=18.395639483932683}, {tempbin=2, sum=2.102644637439601}, {tempbin=3, sum=1.4396008397897804}, {tempbin=4, sum=0.2200102502288822}, {tempbin=5, sum=0.07941911568969721}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,Lake St. Croix Beach,"{groups=[{tempbin=1, sum=0.29253810024805316}, {tempbin=2, sum=0.16729913213964848}, {tempbin=3, sum=0.09496328877383416}, {tempbin=4, sum=0.0024601665388732912}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,West Lakeland Twp.,"{groups=[{tempbin=1, sum=10.362250895426058}, {tempbin=2, sum=0.9509641236580653}, {tempbin=3, sum=0.6789157380795416}, {tempbin=4, sum=0.09663127763054837}, {tempbin=5, sum=0.20676264408325154}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,Laketown Twp.,"{groups=[{tempbin=1, sum=22.00489490212948}, {tempbin=2, sum=1.1805146936913768}, {tempbin=3, sum=0.40098472750447905}, {tempbin=4, sum=0.07732347145367444}, {tempbin=5, sum=0.22481765659764374}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6,Lino Lakes,"{groups=[{tempbin=1, sum=21.07398147429555}, {tempbin=2, sum=2.7195042515326637}, {tempbin=3, sum=2.4756529338975723}, {tempbin=4, sum=0.4172093589019601}, {tempbin=5, sum=0.5730353489814163}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b8,Spring Lake Twp.,"{groups=[{tempbin=1, sum=23.473394671064508}, {tempbin=2, sum=1.4762706529781568}, {tempbin=3, sum=0.48532941869172064}, {tempbin=4, sum=0.023716008216430665}, {tempbin=5, sum=0.020009199763531476}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,Ham Lake,"{groups=[{tempbin=1, sum=26.268957217283074}, {tempbin=2, sum=3.8833165294986567}, {tempbin=3, sum=2.413476645288133}, {tempbin=4, sum=0.49034604830026046}, {tempbin=5, sum=0.36995857758286754}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057,Gem Lake,"{groups=[{tempbin=1, sum=0.8151777958403248}, {tempbin=2, sum=0.10431943400017085}, {tempbin=3, sum=0.05891722197357777}, {tempbin=4, sum=0.019639203696661365}, {tempbin=5, sum=0.050571671981780975}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,Lakeland,"{groups=[{tempbin=1, sum=1.0818236192444304}, {tempbin=2, sum=0.46131756113820255}, {tempbin=3, sum=0.3666316927082526}, {tempbin=4, sum=0.08040381896491694}, {tempbin=5, sum=0.07204343412222286}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,Sunfish Lake,"{groups=[{tempbin=1, sum=1.362748490435886}, {tempbin=2, sum=0.10613063918627916}, {tempbin=3, sum=0.0672221034566346}, {tempbin=4, sum=0.0024624279716308596}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074,Forest Lake,"{groups=[{tempbin=1, sum=26.150815817851463}, {tempbin=2, sum=1.4840827973834678}, {tempbin=3, sum=1.5436929626936813}, {tempbin=4, sum=0.23990486046591708}, {tempbin=5, sum=0.15919581601856683}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,Cedar Lake Twp.,"{groups=[{tempbin=1, sum=29.89719855281388}, {tempbin=2, sum=1.8876405086025434}, {tempbin=3, sum=0.45406193317575005}, {tempbin=4, sum=0.014356856316467284}, {tempbin=5, sum=0.06980333576978766}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b,Lakeville,"{groups=[{tempbin=1, sum=14.603726560937192}, {tempbin=2, sum=3.586280717382365}, {tempbin=3, sum=10.388641076875619}, {tempbin=4, sum=4.468236624962049}, {tempbin=5, sum=3.3325940570774772}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
