system:index,CTU_NAME,avg_lst,regionAvg,regionSD,.geo
00000000000000000000,Anoka,{LST=100.47773272687213},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,Shoreview,{LST=95.15431932016698},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,Farmington,{LST=93.15781049654493},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,Sciota Twp.,{LST=90.3772148154767},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,Golden Valley,{LST=98.20681653070942},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,Mendota Heights,{LST=94.86276876561524},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,Rockford,{LST=96.2889448419807},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,Young America Twp.,{LST=88.56688881570601},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,Plymouth,{LST=97.38056160360257},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,White Bear Lake,{LST=96.67259386036592},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,Crystal,{LST=99.76287580794602},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,Spring Lake Park,{LST=101.02036587555115},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,Lakeland Shores,{LST=95.07222255556914},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,Robbinsdale,{LST=99.40184342909788},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,Chaska,{LST=95.37577081981584},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,North Oaks,{LST=90.80507873994331},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,Long Lake,{LST=96.93913182580343},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
