system:index,CTU_NAME,sq_miles,.geo
00000000000000000000,Anoka,"{groups=[{tempbin=1, sum=1.3492914463435932}, {tempbin=2, sum=0.8039912114548305}, {tempbin=3, sum=2.1233258734275045}, {tempbin=4, sum=1.0806895880236924}, {tempbin=5, sum=1.3418968546425403}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,Shoreview,"{groups=[{tempbin=1, sum=4.904323418105081}, {tempbin=2, sum=1.9375175791197263}, {tempbin=3, sum=2.763409321878734}, {tempbin=4, sum=0.45051921759990254}, {tempbin=5, sum=0.484845293807283}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,Farmington,"{groups=[{tempbin=1, sum=7.912418454172317}, {tempbin=2, sum=1.1439368284835765}, {tempbin=3, sum=2.8618643690878836}, {tempbin=4, sum=1.6168730810601986}, {tempbin=5, sum=1.145701746114531}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,Sciota Twp.,"{groups=[{tempbin=1, sum=13.893460971258381}, {tempbin=2, sum=0.36693949160939904}, {tempbin=3, sum=0.24183791840198376}, {tempbin=4, sum=0.08055835963747565}, {tempbin=5, sum=0.019078917005236812}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,Golden Valley,"{groups=[{tempbin=1, sum=1.5614976321061933}, {tempbin=2, sum=2.0743441390232285}, {tempbin=3, sum=3.932414645433866}, {tempbin=4, sum=0.835354045713752}, {tempbin=5, sum=1.7481466034546902}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,Mendota Heights,"{groups=[{tempbin=1, sum=3.305619619417544}, {tempbin=2, sum=1.900359695186967}, {tempbin=3, sum=2.969421198683214}, {tempbin=4, sum=0.38018818981192093}, {tempbin=5, sum=0.6557857631372122}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,Rockford,"{groups=[{tempbin=1, sum=0.11481655020825816}, {tempbin=2, sum=0.05250449228159167}, {tempbin=3, sum=0.061827545905334326}, {tempbin=4, sum=0.023552783710894743}, {tempbin=5, sum=0.030666884932067852}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,Young America Twp.,"{groups=[{tempbin=1, sum=29.367328526936127}, {tempbin=2, sum=1.0125639730740752}, {tempbin=3, sum=0.8135389424987264}, {tempbin=4, sum=0.15071189178350827}, {tempbin=5, sum=0.09321830536992176}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,Plymouth,"{groups=[{tempbin=1, sum=7.8159012716131855}, {tempbin=2, sum=6.435374173491277}, {tempbin=3, sum=10.101117255442116}, {tempbin=4, sum=2.4604481897740915}, {tempbin=5, sum=4.607084890244725}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,White Bear Lake,"{groups=[{tempbin=1, sum=1.7194092846385323}, {tempbin=2, sum=1.7432988255046753}, {tempbin=3, sum=3.108008396432137}, {tempbin=4, sum=0.5355495454216546}, {tempbin=5, sum=0.6273820334485104}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,Crystal,"{groups=[{tempbin=1, sum=0.2183367977649536}, {tempbin=2, sum=0.4626956397260746}, {tempbin=3, sum=3.2134058731939317}, {tempbin=4, sum=0.8222624360101887}, {tempbin=5, sum=0.9609357122843993}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,Spring Lake Park,"{groups=[{tempbin=1, sum=0.09784336307612942}, {tempbin=2, sum=0.09538950485604876}, {tempbin=3, sum=0.7069504722763176}, {tempbin=4, sum=0.5134929779908072}, {tempbin=5, sum=0.5777451252614662}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,Lakeland Shores,"{groups=[{tempbin=1, sum=0.15124325351912843}, {tempbin=2, sum=0.07304076440392447}, {tempbin=3, sum=0.06246706729691162}, {tempbin=4, sum=0.008853840555688478}, {tempbin=5, sum=0.009592042287359617}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,Robbinsdale,"{groups=[{tempbin=1, sum=0.10464277865789781}, {tempbin=2, sum=0.11740043516791994}, {tempbin=3, sum=1.3591769263748292}, {tempbin=4, sum=0.7009057085626613}, {tempbin=5, sum=0.4693344429394224}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,Chaska,"{groups=[{tempbin=1, sum=6.908086413222865}, {tempbin=2, sum=2.325227065130742}, {tempbin=3, sum=4.598438715921191}, {tempbin=4, sum=1.6339585015049312}, {tempbin=5, sum=1.3430063144536422}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,North Oaks,"{groups=[{tempbin=1, sum=5.95203835316334}, {tempbin=2, sum=0.5055609125138495}, {tempbin=3, sum=0.2617117040065436}, {tempbin=4, sum=0.046360916613555875}, {tempbin=5, sum=0.06256041795351552}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,Long Lake,"{groups=[{tempbin=1, sum=0.251436764311469}, {tempbin=2, sum=0.2642167658405461}, {tempbin=3, sum=0.16761888706184772}, {tempbin=4, sum=0.054560286444726644}, {tempbin=5, sum=0.10346606474672228}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,North St. Paul,"{groups=[{tempbin=1, sum=0.3620764444459905}, {tempbin=2, sum=0.522020447490676}, {tempbin=3, sum=1.472957592764754}, {tempbin=4, sum=0.1906265620484255}, {tempbin=5, sum=0.31836633289590566}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,Independence,"{groups=[{tempbin=1, sum=29.218184236653123}, {tempbin=2, sum=1.229842547539586}, {tempbin=3, sum=0.3399905005881585}, {tempbin=4, sum=0.023830934425708005}, {tempbin=5, sum=0.06290248572762464}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
