CTU_NAME,min_LST,mean_LST,max_LST
Afton,83.5251767083869,88.73071500448144,102.62922140077157
Andover,84.71046546042334,91.38661024088411,105.19064142362943
Anoka,85.74121193694585,94.12436609299833,104.9947593117322
Apple Valley,85.05697517984298,93.31685766974798,105.9431772652752
Arden Hills,84.97031178774154,92.68688524339561,104.32856490350204
Bayport,85.04559939793377,91.93214204142312,102.40833755198139
Baytown Twp.,84.33406846366408,89.66429320040892,103.43710280137344
Belle Plaine,85.05764594767706,93.02336510245311,108.02665721713235
Belle Plaine Twp.,84.37571646354765,89.45553456428777,105.32645728963286
Benton Twp.,85.35344614913981,89.39441557800464,106.6549260154842
Bethel,85.59476518864366,91.01194209495087,105.00889827044244
Birchwood Village,85.93183871975259,89.93663784624101,98.89142891623906
Blaine,85.0596707101257,92.72015286073344,104.16992022004098
Blakeley Twp.,85.8168138654515,89.5926622097579,105.84344430314135
Bloomington,85.09027608843809,93.27708135601249,106.69588504495698
Brooklyn Center,86.20542448554059,94.4969881288984,104.8551968878729
Brooklyn Park,80.82139713850506,93.85633155773502,105.13939092299839
Burnsville,85.70269758111277,93.10551992175054,107.13283160778022
Camden Twp.,85.17304199924236,89.2895576362594,105.73982207893529
Carver,86.53242811293215,91.90346865682781,104.65524498083546
Castle Rock Twp.,83.45393616430705,87.91365958460317,104.12843584808402
Cedar Lake Twp.,85.21536555638347,90.19654156581714,105.3199256684841
Centerville,84.66978951217325,91.94777518249273,102.92850452115275
Champlin,85.25209065699411,92.75486054084469,104.4211194813541
Chanhassen,81.8831431387004,92.16540729927515,107.39310235535017
Chaska,85.25210401087466,92.52348043302838,105.40398919135265
Circle Pines,85.81526546488642,91.53640153122653,102.72992912126053
Coates,84.10475444167642,90.36528230063367,102.99214676693288
Cologne,85.96395456975803,92.28073699563554,105.99966315399332
Columbia Heights,86.20744834780906,94.32451057224276,105.17888876509922
Columbus,84.79373523587509,90.26519782650816,104.67945334841092
Coon Rapids,85.74765051059211,93.17158576484027,107.92828772391205
Corcoran,83.84101465003008,90.05336368077728,105.39839386699633
Cottage Grove,83.1930625434249,90.33786276565982,104.64660981495196
Credit River Twp.,85.02575746025566,90.56175135485974,105.7794275702996
Crystal,86.25330273042448,93.85903910551801,104.91026363777377
Dahlgren Twp.,84.17994551569308,89.74373257995254,106.51713574885221
Dayton,84.09410075343128,90.44567024505567,105.39872945758044
Deephaven,86.38951482716573,91.28781013001489,104.2476427126606
Dellwood,84.65035472439983,89.41978563362976,102.23396203566246
Denmark Twp.,82.91899585097306,87.8741005345251,103.16636976180541
Douglas Twp.,82.51167747874453,86.54861842779431,103.05057217653291
Eagan,84.12704760536042,92.76095228034833,108.2493493944517
East Bethel,85.06996933290361,90.74489542670408,104.63172158931903
Eden Prairie,77.74432309099528,93.03172793238238,105.96597364698205
Edina,85.95441122059509,93.44131520797517,105.60975991647275
Elko New Market,85.57787405883334,91.8527685547029,103.78263490008305
Empire Twp.,83.42118425779664,89.60153443437396,105.3661151391388
Eureka Twp.,83.933150841532,88.93066083529544,105.83237995737554
Excelsior,87.47151456176381,94.54991358263372,104.99031479096034
Falcon Heights,85.07967011930316,93.56062839321434,104.11583677072024
Farmington,84.21450627287287,90.86198633937794,104.90536737618636
Forest Lake,84.355295785997,90.09084471667961,105.01561216791988
Fort Snelling (unorg.),85.50179449512832,95.81813703645487,105.14836699535694
Fridley,86.29268775335463,94.79130431339729,105.60385749737607
Gem Lake,85.65728905635028,90.92799596813991,104.08407669065555
Golden Valley,86.17761447337284,93.4650034923371,106.2794072595134
Grant,84.20312045902517,89.63408565769655,103.5519973395074
Greenfield,85.03639145597442,90.19345539846151,107.6373420561113
Greenvale Twp.,84.26535102535449,88.92240564240096,104.46768034195006
Greenwood,86.55832696610419,92.09258817039958,103.7105025123415
Grey Cloud Island Twp.,84.5084167333229,90.34253657561722,102.51407335185708
Ham Lake,78.58174763071858,90.52173224395032,105.19656098535874
Hamburg,87.31291453036543,94.32313808264871,106.03535100857927
Hampton,83.52722064749449,88.90708851312378,101.21838063332643
Hampton Twp.,82.66382048864341,87.40173403429293,103.39707025695172
Hancock Twp.,85.61616291265302,88.92837558669899,106.02842389591348
Hanover,85.08959380615758,90.47848557816192,103.75735199931702
Hastings,83.49059689876678,90.93230746099205,103.31378159230208
Helena Twp.,85.0789781235602,89.64721228471576,105.2951268574294
Hilltop,86.98849396333884,96.04389256426148,102.79276015287755
Hollywood Twp.,85.04925414596647,89.30230715338607,105.55357852887039
Hopkins,86.18246105671346,94.81118032821414,107.58743748882374
Hugo,84.3117436305088,89.96571380997592,104.40293435183008
Independence,85.03017116055594,90.52512051543154,105.41737696794056
Inver Grove Heights,84.84066567262467,91.32815054787555,107.07100768184377
Jackson Twp.,85.34586392067116,91.64430769548567,105.99064297769675
Jordan,86.03674581362095,94.09920371538597,104.83397242048534
Lake Elmo,83.74544394661925,90.21996141448861,103.14476231186518
Lake St. Croix Beach,85.25640961010829,90.36242749276147,102.99501748897734
Lakeland,83.92755480719822,90.58306512388157,102.45837728392534
Lakeland Shores,85.51197319034128,90.54949115706997,99.74087757000564
Laketown Twp.,85.19216393092054,90.40078631248277,105.52244970238914
Lakeville,84.28129688382631,92.80422530759685,106.36142996676384
Landfall,88.69218297985618,95.66624497561804,101.55471517308266
Lauderdale,87.11242859339218,94.6608554327066,103.63075293015524
Lexington,86.52637429335832,93.17548239628844,104.10251464645334
Lilydale,84.803192778481,91.0674421986224,104.00768740190904
Lino Lakes,84.39937073669503,90.74618416631483,104.1423708706134
Linwood Twp.,84.95144192222621,89.98561790797147,104.7496096474324
Little Canada,86.23146062148939,93.40338782083082,104.81107740889618
Long Lake,86.51002271438321,94.08295327025688,105.39460892637808
Loretto,87.35583138782542,94.81097722885816,105.4208125474684
Louisville Twp.,85.3004594451122,90.70156560048878,105.15042421541628
Mahtomedi,85.63291259918631,91.6186043578494,103.48165663685398
Maple Grove,85.0110227942482,93.14920486115302,105.78806521650596
Maple Plain,86.40327515124362,93.8702401802773,105.6878479386238
Maplewood,84.97717151451342,92.39869550288316,104.45483010574847
Marine on St. Croix,84.7931834121978,89.09613651659731,101.63340904888615
Marshan Twp.,82.7671960967725,87.52235719283654,102.52457772544057
May Twp.,83.65040112872921,89.39838648924093,102.9940400808849
Mayer,85.54893750892232,92.92675596158874,104.28555614094952
Medicine Lake,87.46455819974747,92.13035782834426,101.71552072359968
Medina,84.48925027709097,90.83417798036267,107.11514980993248
Mendota,85.69788115496458,90.85506350704652,102.51728143410166
Mendota Heights,85.23358274890487,92.02596633360633,104.89484567704363
Miesville,82.71836908894335,86.9455764448951,102.39135924921437
Minneapolis,85.31147176603957,95.30800181373301,107.35349605620789
Minnetonka,84.22526119232613,92.5420965435815,105.40180721527095
Minnetonka Beach,86.83980595540349,91.78876196230435,102.15883706587711
Minnetrista,85.24401030411791,90.89864330520808,105.87541945444305
Mound,86.81862571392061,93.35278690944993,105.00005123797574
Mounds View,86.20343817649669,93.00712334898564,103.73734758481795
New Brighton,85.89521905844346,93.67016659961688,104.6027649903074
New Germany,86.17726088667406,90.75435163728808,104.61680112798666
New Hope,85.96745187588509,94.45779518823038,104.43535920319593
New Market Twp.,84.72988563863373,90.24139013159534,105.93606080268921
New Prague,86.39527863003687,94.10044989110915,105.73221295033508
New Trier,83.86001971332081,88.83783994853975,99.93453018982157
Newport,84.01381358438333,91.86294178187921,104.05599868347132
Nininger Twp.,83.09291252894079,87.80414081479587,103.06304790963485
North Oaks,85.64383575617695,90.06850741859382,102.28173176513853
North St. Paul,85.9898684689041,93.1652655493033,103.87047922092013
Northfield,85.4744266605354,89.93276479548604,102.34704834454152
Norwood Young America,86.12765043067562,93.20377349797401,106.20847961957898
Nowthen,83.60921866143826,90.27247117859072,104.999620493978
Oak Grove,85.11842351674186,90.79347450108015,105.29877086310395
Oak Park Heights,84.12189886748823,93.22641607925155,103.3372038087108
Oakdale,85.07365096702209,92.24379067517556,104.96830913784612
Orono,85.50621326136012,91.11077486847674,104.16269067178385
Osseo,87.65618170384943,96.12880977452343,104.89503347275138
Pine Springs,86.16958719978403,91.22962188419285,101.03718654331921
Plymouth,84.01421859295472,93.30919813730497,107.84128381170159
Prior Lake,85.28250434989289,92.53759951688687,105.2507582849383
Ramsey,83.96503229842789,91.95899021623812,105.1114528613414
Randolph,84.51765451382184,90.16936150876747,102.94531837262434
Randolph Twp.,83.22514242684957,88.51323629231322,102.86616669314562
Ravenna Twp.,82.71755426357976,87.73362671505173,101.89666672699666
Richfield,86.24618504743013,94.72319409372018,104.794876943618
Robbinsdale,86.65113383284871,94.27854385966666,104.16545911632221
Rockford,86.61735473558352,94.49803192032765,105.61152725130742
Rogers,84.31079860386679,91.84216924690747,105.65048827369873
Rosemount,83.45837761717867,91.0999768001942,107.12309022594215
Roseville,85.3898400684728,93.83342814589835,104.58723370363089
San Francisco Twp.,85.66107159286733,90.08176249787275,105.61594913935573
Sand Creek Twp.,85.33419275980248,90.32981831375082,105.74265412978207
Savage,86.02381476910283,92.82522701805372,111.30146297386403
Scandia,84.14399365361658,89.15315939039546,103.60656142210166
Sciota Twp.,83.42236764768896,87.92727185153748,106.3508983114767
Shakopee,85.69153835947212,93.82648582688589,107.62515295150438
Shoreview,85.60566700398834,92.17697593397088,105.58131110115853
Shorewood,84.8102004512203,91.53407442778604,104.24576783925804
South St. Paul,85.48557075943145,93.85669113304373,104.47278146051056
Spring Lake Park,86.71962598502947,94.52505064583845,104.35751717326144
Spring Lake Twp.,85.27432461179345,90.72107721850047,105.35899723919323
Spring Park,86.35231828686135,95.27630434581775,104.93233042384726
St. Anthony,85.96776594272573,93.58338498832867,104.3295102932378
St. Bonifacius,87.29475472770346,93.12624674800756,105.23919240545492
St. Francis,84.54093025830234,90.63996898399331,105.00788107349355
St. Lawrence Twp.,85.63071145511614,91.16989046485834,105.86638955802557
St. Louis Park,86.18822642115192,94.42234235107591,109.02657967765812
St. Marys Point,84.39099989340305,89.5560962339689,101.75151022375715
St. Paul,84.29316040245149,94.0842695834436,106.93907617366423
St. Paul Park,84.887884671327555,91.60164956131634,104.05565983672206
Stillwater,84.6705540777631,91.48540702293421,103.23957756796332
Stillwater Twp.,83.56296256328687,89.08611482765009,103.1460543979758
Sunfish Lake,85.13819526683888,90.2479013066755,102.27820483030058
Tonka Bay,86.39604190169575,92.50981237099937,105.1144344285676
Vadnais Heights,85.34709528726218,92.30515142727513,104.39952405781514
Vermillion,83.2465823180414,87.92391102581992,102.69002400713636
Vermillion Twp.,82.80881100224671,87.51338199723357,104.0804857846765
Victoria,85.50324206204793,91.7705064487802,105.56126383993035
Waconia,86.49330185111266,94.15510164176827,105.4069350438769
Waconia Twp.,85.17525357798502,89.76242130904538,106.13042336167527
Waterford Twp.,83.75209065863261,88.70601511882218,103.28071657232415
Watertown,86.38378302283458,92.94722823793747,105.65592149647267
Watertown Twp.,85.11284765113453,89.810005772077,105.79002981328601
Wayzata,85.97481866582416,92.56206965781797,105.26125473059221
West Lakeland Twp.,83.66248093545298,89.63854241688,103.36910117857443
West St. Paul,85.12380257763131,93.24294245502986,104.58527567990816
White Bear Lake,85.05540156195146,92.77779221748129,103.69150946884304
White Bear Twp.,85.05492860267485,91.35282221098589,102.70617076920809
Willernie,86.63177665731116,91.70627113086202,102.28322108778454
Woodbury,83.4017691135824,91.35547597712457,104.53833539926556
Woodland,86.70215952126748,91.01060540709936,101.70198700578085
Young America Twp.,85.30313208269921,89.35803338887054,106.1340058399335
